id,nom,prenom,age,sexe,filiere,bourse,frais_payes,moyenne_sem1,moyenne_sem2,note_examen,absences,retards,connexions_lms,devoirs_rendus,participation,taux_presence,abandon
251,Ngaradoum,Amina,21,F,info,oui,oui,14.2,10.5,16.5,6,6,27,9,8,62,Diplômé
252,Camara,Yacoub,19,M,mtic,non,non,14.0,16.8,15.2,4,4,40,10,10,86,Diplômé
253,Mbodou,Serge,24,M,mtic,non,oui,10.0,7.1,11.6,16,8,13,2,2,39,Décrochage
254,Hillo,Serge,20,M,mtic,non,oui,8.8,3.2,6.2,12,12,16,1,5,52,Décrochage
255,Djimet,Haoua,22,F,telecom,non,non,12.5,8.0,7.8,7,6,21,4,5,68,Diplômé
256,Habib,Nadjia,21,F,info,oui,oui,5.1,8.6,7.0,13,8,11,4,5,50,Décrochage
257,Hilaire,Abdelkerim,18,M,info,oui,oui,9.9,13.3,8.9,7,6,18,6,7,76,Inscrit
258,Laoukein,Paul,23,M,mtic,oui,non,12.8,12.1,12.7,9,2,28,8,7,91,Diplômé
259,Adam,Marie,20,F,info,non,non,8.2,7.0,6.5,13,9,10,4,0,54,Décrochage
260,Mbodou,Hilaire,24,M,telecom,non,non,14.4,16.7,15.3,5,0,39,8,10,97,Diplômé
261,Haroun,Kebir,22,M,info,oui,oui,9.8,11.7,18.4,7,4,28,9,10,93,Diplômé
262,Laoukein,Adoum,23,M,telecom,non,oui,11.6,14.3,10.7,10,7,29,3,6,64,Inscrit
263,Koumakoy,Bernadette,24,F,telecom,oui,oui,9.9,8.3,7.1,10,8,22,6,5,53,Décrochage
264,Hassaballah,Fatouma,23,F,mtic,non,oui,8.5,8.8,6.7,13,8,5,4,2,51,Décrochage
265,Issa Bechir,Dieudonné,20,M,info,oui,oui,3.4,9.0,10.6,17,10,14,6,4,56,Inscrit
266,Abderahim,Christine,24,F,mtic,non,oui,11.9,13.8,13.9,8,0,28,10,6,81,Diplômé
267,Ngaradoum,Khalid,23,M,telecom,non,oui,7.1,6.7,6.8,16,6,15,4,6,58,Inscrit
268,Abakar,Hassan,19,M,info,non,oui,9.9,7.8,7.8,10,7,11,6,4,62,Inscrit
269,Nourdine,Bernadette,21,F,telecom,non,oui,12.2,9.5,6.2,7,8,21,6,4,55,Décrochage
270,Khalid,Mbodou,18,M,mtic,oui,oui,9.6,12.8,10.4,11,8,26,4,7,59,Diplômé
271,Togombaye,Nadia,18,F,info,oui,oui,15.0,16.0,16.0,4,3,37,7,9,74,Diplômé
272,Abakar Hassan,Adoum,24,M,telecom,oui,oui,15.7,12.1,10.8,10,8,23,5,4,81,Diplômé
273,Abderahim,Ahmat,20,M,mtic,oui,oui,7.8,6.8,6.0,13,12,8,0,2,43,Décrochage
274,Ngarmadji,Angele,24,F,info,non,oui,5.3,7.5,5.3,10,5,15,2,5,50,Inscrit
275,Bakhit,Hamid,23,M,telecom,non,non,8.4,11.0,9.4,6,5,22,2,6,76,Inscrit
276,Abakar Hassan,Ali,20,M,mtic,oui,oui,12.5,10.4,18.1,10,7,22,9,6,71,Diplômé
277,Jean,Prosper,24,M,telecom,oui,oui,13.4,13.3,15.4,6,6,30,8,6,70,Diplômé
278,N'djiaye,Oumar,19,M,telecom,non,oui,13.4,12.1,13.3,6,5,22,6,4,83,Diplômé
279,Ndolenodji,Laure,23,F,info,oui,oui,15.5,9.9,15.9,5,0,29,10,7,69,Diplômé
280,Moussa,Claire,18,F,mtic,non,oui,17.4,14.4,9.6,4,5,27,9,8,74,Inscrit
281,Alifei,Zakaria,21,M,telecom,oui,oui,8.3,14.0,11.5,7,5,25,7,8,91,Diplômé
282,Jean,Laure,24,F,info,oui,oui,13.6,10.9,14.4,7,5,35,6,8,89,Diplômé
283,Mht Rozzi,Marc,20,M,mtic,non,non,11.4,9.2,10.5,8,1,21,5,6,65,Décrochage
284,Hillo,Didier,18,M,mtic,non,oui,10.3,8.4,12.8,9,5,22,4,4,63,Inscrit
285,Nour,Mbodou,19,M,telecom,non,non,12.5,14.8,9.6,7,5,21,8,5,56,Décrochage
286,Saad,Seid,24,M,telecom,non,non,12.6,15.6,14.0,5,3,33,8,7,90,Décrochage
287,Mbaitigue,Bintou,21,F,telecom,non,non,17.0,18.5,15.5,0,0,40,10,10,99,Diplômé
288,Youssouf,Pauline,22,F,mtic,oui,oui,9.1,12.3,10.6,9,8,22,5,7,72,Inscrit
289,Kerallah,Pierre,23,M,telecom,non,non,17.0,15.9,15.4,5,3,40,10,8,76,Diplômé
290,Djamal,Hamid,20,M,info,non,non,13.3,13.5,16.2,6,1,35,10,6,70,Diplômé
291,Laoukein,Hassan,19,M,info,non,non,8.6,12.2,15.5,6,10,18,5,3,54,Inscrit
292,Youssouf,Faustin,19,M,info,non,non,14.5,13.3,14.6,2,7,31,8,10,99,Diplômé
293,Khidir,Christine,20,F,telecom,non,oui,5.3,6.2,6.0,14,10,18,1,1,41,Décrochage
294,Nadege,Franck,20,M,mtic,oui,oui,11.2,12.1,11.5,8,11,16,5,4,60,Diplômé
295,Yacoub,Monique,24,F,mtic,non,oui,7.5,6.0,10.7,13,14,13,3,4,54,Inscrit
296,Idriss,Farid,19,M,info,non,oui,5.2,2.9,3.6,15,12,8,1,1,51,Inscrit
297,Hillo,Laure,22,F,info,oui,oui,10.8,11.6,12.0,5,5,27,5,5,76,Diplômé
298,Laoukein,Suleiman,22,M,mtic,non,oui,3.8,5.7,7.6,12,10,19,2,3,43,Décrochage
299,Djamal,Tahir,24,M,telecom,non,non,8.3,5.2,5.2,15,11,10,5,1,64,Inscrit
300,Tidjani,Donatien,24,M,mtic,oui,oui,9.2,4.8,6.8,14,12,10,5,3,55,Inscrit
301,Abderahim,Madeleine,18,F,mtic,oui,oui,14.1,17.7,13.5,0,2,38,10,9,83,Diplômé
302,Issa,Celine,19,F,mtic,oui,oui,12.9,15.8,17.6,4,2,30,9,10,80,Diplômé
303,Ngakoutou,Kebir,23,M,mtic,non,non,11.8,9.8,10.2,2,5,24,7,6,77,Diplômé
304,Mbaitolum,Gontran,18,M,mtic,non,oui,13.0,10.8,18.1,11,7,33,7,6,66,Diplômé
305,Nourdine,Esther,24,F,info,non,oui,13.1,13.8,17.9,5,4,37,10,9,76,Diplômé
306,Alifei,Marie,19,F,telecom,oui,non,10.3,11.3,14.8,6,5,17,6,6,99,Inscrit
307,Naimbaye,Magloire,22,M,telecom,non,oui,6.5,8.7,7.9,19,11,13,3,3,40,Inscrit
308,Farid,Nadia,22,F,info,oui,oui,8.7,6.1,2.2,15,9,3,4,4,50,Inscrit
309,Mbailaou,Fatouma,24,F,info,non,oui,6.1,8.8,6.3,6,4,24,3,5,53,Diplômé
310,Issa Bechir,Chakir,21,M,mtic,oui,oui,12.9,11.7,15.3,2,1,28,9,9,92,Diplômé
311,Ali,Farid,24,M,mtic,non,non,10.1,11.8,9.0,15,8,24,6,4,47,Décrochage
312,Bakhit,Théophile,24,M,mtic,non,non,3.5,2.0,5.5,10,9,9,1,3,26,Décrochage
313,Jean,Abdelkerim,18,M,info,oui,oui,3.8,5.7,5.4,16,9,12,1,3,42,Décrochage
314,Alifei,Mahamat,22,M,info,non,non,11.5,11.6,11.8,4,7,18,6,7,62,Diplômé
315,Bichara,Oumar,21,M,info,non,oui,13.9,14.7,13.9,9,2,24,8,6,77,Inscrit
316,Abakar Hassan,Monique,22,F,info,oui,oui,11.8,11.8,11.0,7,7,26,5,7,80,Diplômé
317,Mbaitolum,Zeinab,19,F,mtic,oui,oui,14.2,12.8,9.6,9,2,24,5,7,67,Diplômé
318,Camara,Mahmat,19,M,info,non,oui,7.8,7.1,4.9,14,10,14,3,3,60,Décrochage
319,Mht Rozzi,Tahir,20,M,telecom,oui,oui,8.3,9.6,9.6,14,12,13,6,3,59,Inscrit
320,Kerallah,Kevin,19,M,telecom,oui,oui,13.7,16.8,13.1,2,1,29,5,9,86,Diplômé
321,Rahel,Sandrine,19,F,telecom,oui,oui,18.5,17.8,18.5,2,3,40,9,10,91,Diplômé
322,Mallah,Mariam,18,F,telecom,oui,non,10.0,6.2,7.0,12,11,13,2,3,47,Décrochage
323,Youssouf,Halimé,22,F,mtic,oui,oui,10.5,12.4,11.5,12,4,30,6,5,63,Diplômé
324,Abakar,Djibrine,19,M,info,non,oui,3.5,3.0,7.8,16,12,4,2,1,50,Décrochage
325,Mht Rozzi,Ibrahim,22,M,telecom,oui,oui,10.6,9.8,11.2,7,9,18,5,6,68,Inscrit
326,Christian,Grace,21,F,mtic,non,non,11.1,12.8,12.3,6,9,23,7,7,76,Inscrit
327,Idriss,Celestin,20,M,telecom,oui,oui,7.3,6.9,6.8,10,8,8,2,6,55,Décrochage
328,Farid,Julie,20,F,info,oui,oui,4.0,5.8,3.3,12,14,4,3,2,48,Décrochage
329,Chabadine,Prisca,19,F,telecom,oui,oui,11.2,12.3,10.0,5,9,32,6,8,61,Diplômé
330,Ahmat,Bintou,19,F,info,oui,oui,12.8,14.9,9.1,3,4,31,7,6,88,Diplômé
331,Seid,Saleh,23,M,telecom,oui,oui,6.0,10.1,8.1,6,3,22,4,5,63,Inscrit
332,Hassan,Nour,18,M,info,non,non,5.9,8.5,11.3,15,10,19,2,4,60,Inscrit
333,Aboulaye,Valentin,19,M,telecom,non,oui,17.1,18.5,15.8,2,1,21,7,10,95,Diplômé
334,Ahmat,Fatahaldjelil,21,M,info,non,oui,17.2,17.3,17.6,0,0,40,10,10,99,Diplômé
335,Issa,Sophie,20,F,info,non,oui,6.3,6.3,6.2,13,8,9,4,3,41,Décrochage
336,Issa Bechir,Paul,19,M,telecom,non,non,7.6,7.3,5.2,14,12,4,2,2,37,Décrochage
337,Brahim,Dieudonné,20,M,telecom,non,non,10.0,13.6,8.0,5,2,27,8,8,64,Diplômé
338,Nadege,Valentin,21,M,info,non,non,12.3,12.1,13.0,7,0,26,7,9,80,Diplômé
339,Togombaye,Madeleine,23,F,info,non,non,2.8,5.0,4.7,19,9,10,0,1,49,Décrochage
340,Jean,Marie,23,F,telecom,non,oui,14.2,11.7,12.9,10,3,38,10,10,67,Diplômé
341,Idriss,Safiya,20,F,info,oui,oui,13.9,15.2,12.3,7,3,27,5,8,66,Diplômé
342,Aboulaye,Celine,22,F,telecom,oui,oui,4.9,4.9,9.2,14,11,13,0,0,34,Décrochage
343,Issa,Luc,20,M,telecom,non,non,6.7,10.6,10.9,12,3,16,5,6,60,Inscrit
344,Oueddei,Prosper,18,M,telecom,oui,oui,6.7,8.6,6.4,14,9,20,2,5,67,Décrochage
345,N'djiaye,Fatimé,22,F,mtic,non,oui,14.8,14.5,13.0,5,4,32,9,10,95,Diplômé
346,Haroun,Sylvie,22,F,mtic,oui,non,12.2,12.6,10.7,7,1,19,7,6,73,Diplômé
347,Nour,Abdelsalam,18,M,mtic,oui,oui,9.2,7.6,9.2,5,5,19,7,3,61,Décrochage
348,Saleh,Marie,23,F,telecom,oui,oui,14.5,10.4,16.0,7,3,22,8,7,75,Diplômé
349,Kebir,Khalid,19,M,info,non,oui,15.9,15.1,16.9,1,4,29,10,10,96,Diplômé
350,Hilaire,Yacoub,22,M,info,non,non,9.8,8.9,12.5,10,3,12,8,5,76,Décrochage
351,Brahim,Amina,20,F,info,oui,oui,2.0,3.3,4.1,16,15,5,2,2,30,Décrochage
352,Mbaitigue,Sophie,23,F,mtic,non,non,6.6,14.9,13.8,9,8,19,5,4,69,Diplômé
353,Bakhit,Safiya,21,F,info,oui,non,12.2,11.4,12.3,2,7,33,6,7,73,Diplômé
354,Oueddei,Anne,24,F,info,non,non,9.7,8.5,11.9,10,3,23,7,6,59,Inscrit
355,Issakha,Sylvestre,22,M,mtic,oui,oui,12.5,11.9,15.0,9,6,31,7,7,67,Diplômé
356,Nourdine,Sadia,18,F,mtic,non,oui,13.3,15.5,12.3,8,2,29,8,6,73,Diplômé
357,Magloire,Fatouma,23,F,info,non,non,6.3,3.2,10.9,14,9,13,0,4,47,Décrochage
358,Gotran,Appolinaire,24,M,telecom,non,non,10.5,7.0,10.1,12,8,22,3,7,66,Décrochage
359,Yacoub,Gotran,22,M,mtic,non,oui,9.8,9.0,6.4,6,8,20,5,5,50,Décrochage
360,Nourdine,Hillo,20,M,mtic,non,non,11.9,17.1,14.2,7,4,32,7,4,75,Diplômé
361,Alifei,Abdelsalam,24,M,info,non,oui,15.3,15.4,14.2,5,4,24,7,5,75,Diplômé
362,Djibrine,Yasmin,21,F,telecom,non,oui,15.6,11.9,14.7,4,4,37,7,7,79,Diplômé
363,Guihini,Aristide,19,M,telecom,non,oui,6.0,2.3,7.1,14,15,9,2,3,41,Décrochage
364,Farid,Khalid,23,M,info,non,oui,13.3,10.9,7.6,10,7,20,6,5,55,Diplômé
365,Mallah,Fatimé,24,F,mtic,non,oui,13.8,10.4,15.0,8,6,23,5,5,55,Inscrit
366,Nadege,Abdelkerim,20,M,info,non,oui,10.0,11.0,10.5,15,9,14,2,3,50,Décrochage
367,Oueddei,Issakha,20,M,info,non,non,15.3,11.8,11.2,2,10,23,8,8,77,Diplômé
368,Abakar Ali,Franck,22,M,telecom,non,oui,8.7,8.1,6.2,11,10,13,3,6,65,Décrochage
369,Saad,Djibrine,23,M,mtic,oui,oui,8.0,7.1,6.2,15,8,18,3,3,51,Décrochage
370,Ngakoutou,Sylvestre,22,M,info,non,oui,11.0,11.6,14.1,6,6,30,8,8,83,Diplômé
371,Issa,Faustin,23,M,mtic,non,oui,12.8,17.6,12.1,6,5,37,9,6,74,Inscrit
372,Jean,Moussa,20,M,telecom,oui,oui,17.1,15.3,16.7,0,4,36,10,8,99,Diplômé
373,Ahmat,Bernadette,22,F,info,non,oui,14.6,12.7,12.7,7,4,23,8,7,91,Diplômé
374,Yacoub,Celine,22,F,info,non,non,5.3,8.5,8.3,16,9,12,1,3,64,Décrochage
375,Alifei,Grace,24,F,mtic,oui,oui,16.9,16.2,18.5,2,0,33,8,9,82,Diplômé
376,Ndolenodji,Khadidja,20,F,telecom,non,non,9.1,12.9,11.1,6,0,29,8,7,80,Diplômé
377,Kessou,Saleh,22,M,info,non,oui,7.5,7.5,5.4,12,8,5,1,3,43,Décrochage
378,Camara,Abderahim,21,M,telecom,non,non,16.6,16.1,16.0,0,3,36,10,9,98,Diplômé
379,Tidjani,Roukaya,18,F,info,non,oui,8.3,8.5,6.9,11,11,15,3,2,46,Décrochage
380,Kerallah,Abakar,22,M,info,non,oui,9.8,10.9,10.4,7,5,25,7,4,89,Inscrit
381,Abdeldjelil,Issa,18,M,telecom,non,oui,9.2,10.8,8.3,12,4,15,3,2,63,Décrochage
382,Adam,Timothée,24,M,telecom,non,oui,2.0,5.2,4.5,20,12,30,8,2,48,Inscrit
383,George,Esther,20,F,mtic,non,oui,7.1,7.1,7.9,9,10,13,2,4,67,Décrochage
384,Tahir,Valentin,22,M,mtic,oui,oui,6.2,8.8,9.9,14,7,16,5,4,64,Décrochage
385,Bachir,Zakaria,20,M,mtic,non,non,15.2,15.5,6.4,6,3,20,9,8,69,Inscrit
386,Gotran,Nour,23,M,mtic,non,oui,13.2,15.3,13.0,6,4,25,7,6,70,Diplômé
387,Saleh,Babikir,19,M,mtic,oui,oui,8.8,11.3,8.3,5,7,13,3,5,68,Décrochage
388,Mallah,Sandrine,23,F,mtic,non,oui,8.7,9.8,8.2,11,11,4,4,2,60,Inscrit
389,Khidir,Sylvie,19,F,mtic,non,oui,5.9,4.7,6.1,17,11,11,1,1,44,Décrochage
390,Nour,Lucie,24,F,telecom,oui,oui,6.5,8.5,10.6,15,12,16,5,2,40,Inscrit
391,Seid,Chakir,23,M,mtic,oui,oui,8.8,13.5,13.0,11,6,21,6,6,69,Diplômé
392,Ngakoutou,Intissar,24,F,info,non,non,10.8,8.0,11.2,7,8,19,3,7,70,Inscrit
393,Bachir,Valentin,21,M,telecom,non,non,13.5,13.8,16.1,4,5,24,7,7,67,Diplômé
394,Jean,Nadjia,22,F,info,oui,oui,10.1,7.9,6.4,12,11,16,1,3,57,Décrochage
395,Naimbaye,Moussa,23,M,info,non,non,14.6,13.5,12.6,4,3,32,6,9,88,Diplômé
396,Gotran,Djamila,24,F,mtic,oui,non,13.2,12.2,12.6,1,5,30,7,7,79,Inscrit
397,Massang,Zakaria,22,M,telecom,non,non,15.1,14.2,13.0,3,1,38,8,9,66,Décrochage
398,Rahel,Jacques,18,M,telecom,non,oui,11.9,12.8,11.4,6,5,35,8,7,76,Diplômé
399,Idriss,Rahel,24,F,mtic,non,non,10.7,10.4,8.7,13,6,24,8,5,64,Diplômé
400,Zakaria,Adoum,19,M,mtic,oui,oui,8.5,10.2,13.0,10,6,25,5,4,69,Inscrit
401,Seid,Safia,18,F,telecom,non,oui,10.9,9.9,10.7,5,5,28,7,5,70,Diplômé
402,Mbaitigue,Julie,22,F,info,oui,non,16.0,13.3,17.3,10,0,27,6,7,96,Diplômé
403,Saad,Valentin,24,M,mtic,non,oui,13.9,11.2,14.7,5,4,29,9,8,85,Diplômé
404,Bakhit,Abdelsalam,18,M,telecom,non,non,4.8,4.2,3.5,16,11,3,3,2,28,Décrochage
405,Ahmat Goni,Babikir,24,M,telecom,non,non,11.1,12.3,18.5,9,6,21,6,8,63,Décrochage
406,Habib,Luc,24,M,telecom,non,oui,6.6,8.7,8.1,12,9,14,3,4,60,Décrochage
407,Bichara,Josephine,23,F,info,oui,non,16.3,11.7,14.6,8,6,26,6,10,85,Inscrit
408,Nour,Evariste,18,M,telecom,non,non,15.7,16.2,16.4,2,2,26,8,7,80,Diplômé
409,Hilaire,Chakir,24,M,mtic,non,oui,11.8,9.1,9.7,7,7,26,6,6,73,Diplômé
410,Youssouf,Hilaire,22,M,mtic,non,non,9.9,9.6,11.3,8,5,19,8,7,68,Inscrit
411,Nourdine,Rahel,24,F,mtic,oui,oui,10.1,12.2,10.1,7,5,24,6,5,74,Diplômé
412,Brahim,Michel,21,M,mtic,oui,oui,12.1,13.6,11.9,11,4,21,5,4,67,Inscrit
413,Idriss,Aristide,20,M,info,non,oui,10.7,10.9,11.9,9,7,33,8,7,68,Inscrit
414,Abdelkerim,Angele,18,F,info,non,oui,15.1,11.7,14.5,10,3,27,5,6,73,Inscrit
415,Babikir,Safiya,20,F,info,non,non,5.2,2.0,2.0,18,10,0,0,2,33,Décrochage
416,Issa Bechir,Franck,23,M,mtic,oui,oui,10.9,12.6,11.4,6,0,28,6,6,66,Diplômé
417,Aboulaye,Mbodou,18,M,info,non,non,9.9,7.6,13.2,13,6,16,4,6,80,Décrochage
418,Naimbaye,Veronique,21,F,mtic,oui,oui,12.3,13.1,10.8,7,6,28,6,6,86,Inscrit
419,Djibrine,Chakir,19,M,info,non,oui,10.9,13.0,12.8,3,5,24,7,9,87,Inscrit
420,Massang,Safia,18,F,telecom,non,oui,16.5,11.4,12.4,0,4,33,9,10,93,Diplômé
421,Ahmat Goni,Asma,19,F,telecom,non,oui,10.5,10.2,8.0,7,5,26,8,6,78,Décrochage
422,Ali,Halimé,18,F,mtic,oui,oui,10.0,13.6,13.5,4,8,16,5,5,65,Diplômé
423,Aboulaye,Hassan,19,M,telecom,non,oui,3.1,5.1,12.2,10,11,7,2,2,52,Décrochage
424,Abderahim,Hillo,23,M,info,non,oui,8.1,10.7,5.3,13,9,12,2,4,63,Inscrit
425,Brahim,Odette,19,F,telecom,non,oui,6.1,6.1,3.8,11,13,8,5,1,52,Inscrit
426,Dillah,Prisca,22,F,mtic,non,non,7.3,8.0,3.5,13,12,6,4,1,46,Décrochage
427,Kebir,Julie,20,F,info,oui,oui,6.8,8.0,10.3,14,8,17,4,4,57,Décrochage
428,Mbainaye,Mbodou,21,M,info,non,oui,7.1,8.5,9.4,14,4,13,6,4,39,Inscrit
429,Brahim,Valentin,24,M,telecom,non,non,15.9,12.3,14.1,10,2,26,9,9,85,Diplômé
430,Ahmat,Symphorien,24,M,mtic,non,oui,9.9,2.6,5.4,11,9,12,3,4,47,Décrochage
431,Kerallah,Chakir,21,M,info,non,oui,7.4,7.3,9.7,10,9,13,4,2,68,Inscrit
432,Ngakoutou,Hillo,20,M,mtic,non,oui,14.8,15.0,14.5,4,3,39,6,10,65,Diplômé
433,Oumar,Haroun,20,M,telecom,non,oui,10.7,9.4,9.1,13,6,11,2,3,62,Décrochage
434,Djibrine,Gontran,21,M,mtic,non,oui,13.6,10.6,16.0,5,5,24,4,5,72,Inscrit
435,Christian,Donatien,20,M,info,non,oui,10.0,6.1,7.1,10,7,13,5,4,65,Décrochage
436,Mbainaye,Nadia,21,F,info,non,oui,13.2,13.7,17.5,4,5,30,9,9,97,Diplômé
437,Issa Bechir,Sylvie,20,F,telecom,oui,non,8.6,9.2,10.4,10,11,18,3,6,64,Inscrit
438,Naimbaye,Laure,21,F,mtic,oui,oui,12.8,10.6,12.8,7,5,25,7,5,85,Inscrit
439,Khalid,Abdelkerim,23,M,info,oui,non,7.4,6.7,8.1,15,9,5,1,3,41,Décrochage
440,Tahir,Mahamat,19,M,info,non,non,13.6,15.7,11.2,9,3,29,9,6,82,Diplômé
441,Hillo,Adoum,20,M,mtic,non,non,14.0,12.2,16.0,6,3,27,9,9,92,Diplômé
442,Oumar,Khalid,18,M,info,oui,non,5.0,7.4,4.5,16,12,21,7,1,37,Inscrit
443,Djamal,Faozzia,23,F,mtic,non,oui,8.5,11.9,8.3,9,5,30,5,8,70,Diplômé
444,Youssouf,Grace,23,F,telecom,non,non,12.4,9.3,14.3,7,6,23,7,5,73,Inscrit
445,Issakha,Julie,23,F,info,oui,oui,12.3,11.5,14.2,6,8,23,5,7,75,Diplômé
446,Abakar,Tahir,19,M,info,non,oui,10.6,12.6,14.4,9,3,29,7,8,67,Diplômé
447,Dillah,Khadidja,22,F,telecom,oui,oui,8.9,5.2,8.7,18,11,6,2,4,39,Décrochage
448,Abakar Ali,Claire,20,F,mtic,oui,oui,14.7,14.8,13.5,5,4,28,8,8,86,Diplômé
449,Togombaye,Abdelkerim,18,M,telecom,non,oui,11.4,8.2,14.4,1,4,29,7,6,76,Diplômé
450,Habib,Hilaire,22,M,telecom,non,non,15.5,14.9,13.5,7,4,31,7,8,72,Diplômé
451,Adoum,Mahmat,19,M,telecom,oui,oui,14.2,13.3,15.7,10,6,26,6,6,66,Diplômé
452,Ndolenodji,Fatahaldjelil,19,M,info,oui,oui,10.4,2.7,8.0,12,9,9,3,0,50,Décrochage
453,Kebir,Evariste,19,M,info,non,oui,11.4,11.1,6.6,8,10,13,4,6,74,Diplômé
454,Tahir,Chakir,22,M,info,non,non,4.2,3.8,7.6,13,11,8,4,3,36,Décrochage
455,Camara,Bachir,21,M,telecom,non,oui,14.0,14.4,13.9,4,2,33,7,8,95,Diplômé
456,Magloire,Nouradine,18,F,info,non,oui,10.2,13.5,8.6,5,2,25,4,6,75,Décrochage
457,Dangbe,Bernadette,19,F,mtic,non,oui,13.7,6.6,11.4,8,5,16,6,7,59,Diplômé
458,Hillo,Bintou,21,F,info,non,non,2.3,5.5,6.0,12,11,5,1,1,38,Décrochage
459,Djibrine,Mahmat,22,M,telecom,non,non,15.1,14.8,10.8,2,2,29,7,9,74,Diplômé
460,Koumakoy,Paul,20,M,mtic,non,non,9.1,9.8,11.5,6,7,17,3,4,49,Décrochage
461,Hassaballah,Mai Hissein,22,F,info,oui,oui,11.6,7.8,11.5,10,10,25,6,6,63,Inscrit
462,Nadege,Faustin,24,M,telecom,non,non,9.7,8.2,6.2,9,8,13,5,5,52,Inscrit
463,Mbodou,Oumar,19,M,info,non,non,12.1,12.7,11.4,5,5,20,6,5,72,Diplômé
464,Camara,Mbodou,18,M,telecom,non,oui,10.2,5.7,10.1,10,6,19,5,4,75,Décrochage
465,Djamal,Safia,22,F,info,oui,oui,17.3,15.0,15.4,5,4,38,9,10,73,Diplômé
466,Bachir,Faustin,18,M,mtic,oui,non,13.2,11.9,15.7,4,4,25,8,8,98,Diplômé
467,Adoum,Dalia,24,F,telecom,oui,oui,9.7,9.5,12.0,7,8,14,6,4,64,Inscrit
468,Magloire,David,22,M,telecom,non,oui,11.8,11.3,10.0,1,4,36,8,8,81,Diplômé
469,Laoukein,Esther,18,F,mtic,oui,oui,13.1,13.6,14.7,11,6,34,8,8,75,Inscrit
470,Chabadine,Yasmin,20,F,mtic,non,non,10.9,11.4,8.4,11,8,18,6,6,68,Inscrit
471,Mallah,Michel,22,M,info,oui,oui,16.4,13.0,16.7,1,6,28,7,7,80,Diplômé
472,Mallah,Amina,22,F,mtic,non,non,5.4,5.2,7.0,19,10,4,1,1,33,Décrochage
473,Youssouf,Bernadette,18,F,telecom,non,non,8.9,11.3,11.3,9,5,14,5,3,50,Décrochage
474,Saleh,Mariam,20,F,info,non,non,8.4,8.5,6.1,8,3,31,8,8,87,Diplômé
475,Hamid,Nourdine,18,M,mtic,non,non,3.4,5.1,8.2,16,13,8,1,2,42,Décrochage
476,Togombaye,Rebecca,19,F,telecom,non,non,17.2,17.5,18.5,1,4,32,8,9,95,Diplômé
477,Gotran,Halimé,21,F,telecom,oui,oui,9.8,9.7,10.9,4,7,21,8,6,82,Diplômé
478,Kebir,Sylvestre,20,M,telecom,oui,oui,15.1,13.3,11.8,11,5,23,6,7,71,Inscrit
479,Idriss,Dieudonné,18,M,telecom,non,oui,11.3,15.0,10.7,8,8,21,5,7,63,Inscrit
480,Issakha,Nour,22,M,telecom,oui,non,10.7,12.7,10.3,9,6,21,6,6,79,Diplômé
481,Togombaye,Abderahim,18,M,telecom,oui,oui,6.1,9.0,10.6,9,7,16,5,3,53,Inscrit
482,Kerallah,Ahmat,23,M,telecom,non,oui,15.9,16.7,9.7,4,5,28,8,8,71,Diplômé
483,Adam,Amina,19,F,mtic,oui,oui,14.8,16.5,13.6,4,7,28,8,10,89,Diplômé
484,Abdeldjelil,Franck,23,M,mtic,non,non,13.5,14.6,13.3,5,7,40,6,8,77,Diplômé
485,Mbainaye,Luc,24,M,telecom,oui,oui,11.2,12.9,11.3,2,4,32,7,8,77,Diplômé
486,Mbaitolum,Angèle,19,F,mtic,non,oui,10.7,10.5,14.9,7,3,31,8,5,81,Diplômé
487,Abdeldjelil,Brahim,23,M,mtic,non,non,15.0,11.9,11.1,6,8,17,5,7,78,Diplômé
488,Hilaire,Asma,24,F,info,oui,oui,16.6,11.6,16.8,0,4,38,9,9,94,Diplômé
489,Abakar Ali,Edith,23,F,telecom,oui,oui,7.5,9.6,2.2,14,7,15,4,2,34,Décrochage
490,Seid,Kebir,20,M,mtic,non,oui,13.0,14.4,15.0,1,6,21,7,7,75,Diplômé
491,Oumar,Kevin,23,M,mtic,non,oui,12.5,12.5,11.4,4,3,28,7,7,87,Diplômé
492,Kessou,Timothée,20,M,info,non,oui,15.1,14.5,12.1,0,2,35,10,7,90,Diplômé
493,Guihini,Josephine,18,F,telecom,non,oui,9.5,14.1,12.3,6,5,16,6,3,87,Décrochage
494,Oumar,Farid,21,M,info,non,non,16.3,14.3,11.1,4,5,34,8,6,85,Diplômé
495,Ngakoutou,Ibrahim,22,M,mtic,non,oui,11.6,7.8,8.6,7,7,20,6,6,62,Inscrit
496,Issa,Zakaria,24,M,info,non,oui,9.6,6.9,6.5,7,3,16,1,3,53,Décrochage
497,Ngarmadji,Nadjia,21,F,telecom,oui,non,7.1,7.8,6.9,11,10,21,5,5,58,Inscrit
498,Kerallah,Abdelkerim,21,M,telecom,oui,non,2.5,4.4,5.2,18,12,13,3,4,55,Décrochage
499,Moussa,Luc,19,M,telecom,oui,oui,13.8,11.4,13.5,8,3,22,8,7,72,Diplômé
500,N'djiaye,Aristide,23,M,mtic,oui,oui,4.1,7.7,6.1,12,10,12,3,4,32,Décrochage
